Title,Title,doi,BD_EPO,BD_Measure,NbS Intervention Type,birds,mammals,fish,amphibians,reptiles,worms ,phytoplankton and zooplankton,mollusca,other macroinvertebrates,nondesc_verts,crustacea,insects,fungi,rotifers,bacteria,Ter_Veg,Aqu_Veg,habitat/ecosystem  diversity,habitat-taxaconnect,habitatWB,habitatspecieslink,R_T,BD_Measure,baseline_compBD,water storage/retention,connectivity/conveyance capacity,drainage,groundwater recharge,flood impacts,streamflow speed,run off/erosion reduction,water quality,FM type_qual,FM type_quan,baseline_compFM,Country,Continent,Continentref,Scale,Scaleref,Scale2,BDFM relationship measured,NbSref,NbSreduce,NbS Intervention Type,timesinceint,int2,surveyrepeats,monitorType,R_T,surveyrepeatsOG
"Dryland Watershed Restoration With Rock Detention Structures: A Nature-based Solution to Mitigate Drought, Erosion, Flooding, and Atmospheric Carbon","Dryland Watershed Restoration With Rock Detention Structures: A Nature-based Solution to Mitigate Drought, Erosion, Flooding, and Atmospheric Carbon",10.3389/fenvs.2021.679189,N,Y,Watershed restoration,species richness,species richness,species richness,species richness,species richness,NA,NA,NA,species richness,NA,NA,NA,NA,NA,NA,species richness,species richness,ecosystem/habitat diversity,Y - restoration of riparian habitat areas linked to multiple groups (niches within single habitat type),within,Y,Response (S),Y,some,qualitative,qualitative,NA,NA,quantitative,quantitative,quantitative,qualitative,water storage and conveyance,,some,USA,North America,C,meso-macro,b,Meso,Positive,HH,Other Restoration,Watershed restoration,>2 decades,e,repeated ,Temporal (post-post),Response (S),repeated 
Echoes of a flood pulse: short-term effects of record flooding of the Illinois River on floodplain lakes under ecological restoration,Echoes of a flood pulse: short-term effects of record flooding of the Illinois River on floodplain lakes under ecological restoration,10.1007/s10750-017-3220-5,Y,Y,Floodplain restoration,"species richness, species abundance, species composition, ",NA,"species richness, species abundance, species composition, ",NA,NA,NA,"species abundance, species composition",NA,"species abundance, species composition",NA,"species abundance, species composition",NA,NA,"species richness, species abundance",species composition,NA,"species abundance, species composition",ecosystem/habitat diversity,Y - within floodplain habitat - structural diversity of  habitat niches and functional link to taxa (nursery for waterfowl and fish etc.),within and between,NA,Response (S),Y,some,qualitative,quantitative,quantitative,NA,NA,NA,NA,quantitative,NA,water storage,some,USA,North America,C,meso-macro,b,Meso,Positive,CC,Floodplain restoration,Floodplain restoration,years,c,repeated ,Spatial cf,Response (S),repeated 
How do instream flow increase and gravel augmentation impact biological communities in large rivers: A case study on the Upper Rhine River,How do instream flow increase and gravel augmentation impact biological communities in large rivers: A case study on the Upper Rhine River,10.1002/rra.3237,Y,Y,River Restoration,NA,NA,NA,NA,NA,"species richness, species evenness, species abundance",NA,NA,"species richness, species abundance, species composition, species evenness",NA,"species richness, species evenness, species abundance","species richness, species evenness, species abundance",NA,NA,NA,"species richness, species evenness, species abundance","species richness, species abundance, species composition, ",ecosystem/habitat diversity,"Y - within and linked to species, good example of structural d",within,Y,Response (S),Y,some,NA,quantitative,NA,qualitative,NA,quantitative,quantitative,NA,NA,"conveyance, flowvelocity, runoff and erosion",some,"France, Germany",Europe,A,meso-macro,b,Meso,Positive,EE,River Restoration,River Restoration,years,c,repeated ,Spatio-temporal (prepost),Response (S),repeated 
How maintenance and restoration measures mediate the response of riparian plant functional composition to environmental gradients on channel margins: Insights from a highly degraded large river,How maintenance and restoration measures mediate the response of riparian plant functional composition to environmental gradients on channel margins: Insights from a highly degraded large river,10.1016/j.scitotenv.2018.11.434,Y,Y,River Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance, species composition, functional diversity","species richness, species abundance, species composition, functional diversity",ecosystem/habitat diversity,"Y - specific plants with niche traits mapped into xeric, mesic and hydric habitat conditions",within,Y,Response (S),Y,NA,NA,quantitative,NA,NA,NA,quantitative,quantitative,qualitative,NA,"conveyance, flowvelocity, runoff and erosion",some,France,Europe,A,meso-macro,b,Meso,Positive,EE,River Restoration,River Restoration,>1 decade,d,NA,Spatial cf,Response (S),Unclear
Is the riparian habitat creation an effective measure of plant conservation within the urbanized area?,Is the riparian habitat creation an effective measure of plant conservation within the urbanized area?,10.1016/j.ecoleng.2015.06.009,Y,Y,Floodplain restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance, species composition, ","species richness, species abundance, species composition, ",ecosystem/habitat diversity,Y - within H and linked to taxa,between and within,Y,Response (S),Y,some,NA,qualitative,NA,NA,NA,NA,NA,NA,conveyance,NA,NA,Poland,Europe,A,meso-macro,b,Meso,Unclear,CC,Floodplain restoration,Floodplain restoration,>1 decade,d,repeated ,Spatio-temporal (prepost),Response (S),repeated 
Macro-tidal salt marsh ecosystem response to culvert expansion,Macro-tidal salt marsh ecosystem response to culvert expansion,10.1111/j.1526-100X.2009.00602.x,Y,Y,Floodplain restoration,NA,NA,"species richness, species abundance, species composition, ",NA,NA,NA,NA,NA,NA,NA,NA,species abundance,NA,NA,NA,"species abundance, species composition","species abundance, species composition",ecosystem/habitat diversity,"Y - within and linked to species, good example of structural d",within,Y,Response (S),Y,some,quantitative,quantitative,NA,quantitative,NA,quantitative,qualitative,NA,runoff and erosion,"water storage, conveyance, groundwater, flowvelocity",some,Canada,North America,C,meso-macro,b,Meso,Unclear,CC,Floodplain restoration,Floodplain restoration,years,c,repeated ,Temporal (pre-post),Response (S),repeated 
Post-Flood recovery of a macroinvertebrate community in a regulated River: Resilience of an anthropogenically altered ecosystem,Post-Flood recovery of a macroinvertebrate community in a regulated River: Resilience of an anthropogenically altered ecosystem,10.1111/j.1526-100X.2007.00258.x,Y,Y,Floodplain restoration,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance, species composition, ",NA,NA,NA,NA,NA,NA,NA,species abundance,ecosystem/habitat diversity,Y - good example of within H monitoring linked to taxa,within,Y,Response (S),Y,some,NA,quantitative,NA,NA,NA,qualitative,qualitative,NA,"flowvelocity, runoff and erosion",conveyance,some,USA,North America,C,meso-macro,b,Meso,NA,CC,Floodplain restoration,Floodplain restoration,>1 decade,d,repeated ,Spatio-temporal (prepost),Response (S),repeated 
Renaturing cities using a regionally-focused biodiversity-led multifunctional benefits approach to urban green infrastructure,Renaturing cities using a regionally-focused biodiversity-led multifunctional benefits approach to urban green infrastructure,10.1016/j.envsci.2016.01.013,Y,Y,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,species richness,NA,NA,single species abundance,NA,NA,NA,"species richness, species composition",NA,ecosystem/habitat diversity,Y - UGI landscaping habitat heterogeneity linked to coleoptera etc.,within and between,Y,Response (S),Y,Unclear,qualitative,NA,qualitative,NA,NA,NA,NA,NA,water storage,NA,NA,England,Europe,A,meso-macro,b,Meso,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,NA,Spatial cf,Response (S),NA
"Stormwater wetlands for the enhancement of environmental ecosystem services: case studies for two retrofit wetlands in Brisbane, Australia","Stormwater wetlands for the enhancement of environmental ecosystem services: case studies for two retrofit wetlands in Brisbane, Australia",10.1016/j.jclepro.2015.12.081,Y,Y,Constructed Wetlands & Lake Reconstruction,NA,NA,NA,NA,NA,species richness,species abundance,species richness,"species richness, species composition",NA,species richness,species richness,NA,NA,NA,species abundance,NA,ecosystem/habitat diversity,"?within and between and. Linked to taxa, though the diversity wasn't laid ot that well?",within and between,Y,Response (S),Y,some,quantitative,NA,NA,NA,qualitative,quantitative,quantitative,quantitative,floodimpact,"water storage, flowvelocity, runoff and erosion",some,Australia,Oceania,E,meso-macro,b,Meso,Positive,GG,Constructed Wetlands & Lake Reconstruction,Constructed Wetlands & Lake Reconstruction,years,c,repeated ,Spatial cf,Response (S),repeated 
Change in Spatial Distribution Patterns and Regeneration of Populus euphratica under Different Surface Soil Salinity Conditions,Change in Spatial Distribution Patterns and Regeneration of Populus euphratica under Different Surface Soil Salinity Conditions,10.1038/s41598-019-42306-7,Y,Y,Floodplain restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single species abundance, species composition, area cover",NA,NA,,NA,NA,Response (S),Y,some,qualitative,quantitative,NA,quantitative,NA,NA,NA,NA,water storage,"conveyance, groundwater",some,China,Asia,B,meso-macro,b,Meso,Positive,CC,Floodplain restoration,Floodplain restoration,>1 decade,d,repeated ,Spatial cf,Response (S),repeated 
Changes in multiple facets of macroinvertebrate alpha diversity are linked to afforestation in a subtropical riverine natural reserve,Changes in multiple facets of macroinvertebrate alpha diversity are linked to afforestation in a subtropical riverine natural reserve,10.1007/s11356-018-3491-z,Y,Y,Forest afforestation,NA,NA,NA,NA,NA,"species richness, species composition, phylogenetic diversity, functional diversity",NA,"species richness, species composition, phylogenetic diversity, functional diversity","species richness, species composition, phylogenetic diversity, functional diversity",NA,NA,"species richness, species composition, phylogenetic diversity, functional diversity",NA,NA,NA,area cover,NA,NA,,NA,NA,Response (S),Y,some,NA,NA,NA,NA,NA,NA,NA,quantitative,NA,NA,NA,China,Asia,B,meso-macro,b,Meso,NA,FF,Afforestation,Forest afforestation,>1 decade,d,repeated ,Temporal (pre-post),Response (S),repeated 
Managing Biodiversity: Impacts of Legal Protection in Mountain Forests of the Himalayas,Managing Biodiversity: Impacts of Legal Protection in Mountain Forests of the Himalayas,10.3390/f9080476,Y,Y,Ecosystem Protection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species richness,NA,NA,,NA,NA,Response (S),Y,some,NA,NA,NA,NA,qualitative,qualitative,NA,qualitative,flowvelocity,NA,some,Nepal,Asia,B,meso-macro,b,Meso,NA,II,Ecosystem Protection,Ecosystem Protection,>2 decades,e,NA,Spatial cf,Response (S),Unclear
Relative influence of landscape vs. local factors on plant community assembly in restored wetlands,Relative influence of landscape vs. local factors on plant community assembly in restored wetlands,10.1890/08-1836.1,Y,Y,Wetland Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"functional diversity, species composition","functional diversity, species composition",NA,,NA,NA,Response (S),Y,some,quantitative,qualitative,qualitative,NA,NA,NA,NA,NA,"conveyance, drainage",water storage,NA,USA,North America,C,meso-macro,b,Meso,NA,DD,Wetland Restoration,Wetland Restoration,years,c,repeated ,Spatial cf,Response (S),repeated 
Restoration of a Canadian prairie wetland with agricultural and municipal wastewater,Restoration of a Canadian prairie wetland with agricultural and municipal wastewater,10.1007/s002679900212,Y,Y,Constructed Wetlands & Lake Reconstruction,"species richness, species abundance","species richness, species abundance","species richness, species abundance","species richness, species abundance","species richness, species abundance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance",NA,NA,,NA,NA,Response (S),Y,some,quantitative,NA,qualitative,qualitative,qualitative,NA,NA,quantitative,"drainage, floodimpact, groundwater",water storage,some,Canada,North America,C,meso-macro,b,Meso,NA,GG,Constructed Wetlands & Lake Reconstruction,Constructed Wetlands & Lake Reconstruction,years,c,repeated ,Spatial cf,Response (S),repeated 
"Seed limitation and saline-alkaline stress restrict wetland restoration potential in the Songnen Plain, northeastern China","Seed limitation and saline-alkaline stress restrict wetland restoration potential in the Songnen Plain, northeastern China",10.1016/j.ecolind.2021.107998,Y,Y,Wetland Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance","species richness, species abundance",NA,,NA,NA,Response (S),Y,some,quantitative,quantitative,NA,NA,NA,NA,NA,NA,NA,"water storage, conveyance",some,China,Asia,B,meso-macro,b,Meso,Unclear,DD,Wetland Restoration,Wetland Restoration,years,c,repeated ,Spatial cf,Response (S),repeated 
"Temporospatial variation in ecosystem configuration in a pilot city for the Water Ecological Civilisation Project, China","Temporospatial variation in ecosystem configuration in a pilot city for the Water Ecological Civilisation Project, China",10.1071/MF18338,Y,Y,River Restoration,NA,NA,"species richness, species abundance, species composition, species evenness",NA,NA,"species richness, species abundance","species richness, species abundance, species composition, species evenness","species richness, species abundance","species richness, species abundance, species composition, species evenness",NA,"species richness, species abundance, species composition, species evenness","species richness, species abundance",NA,"species richness, species abundance, species composition, species evenness",NA,NA,NA,NA,,NA,NA,Response (S),Y,some,NA,NA,NA,NA,NA,quantitative,NA,quantitative,NA,flowvelocity,NA,China,Asia,B,meso-macro,b,Meso,NA,EE,River Restoration,River Restoration,years,c,repeated ,Spatial cf,Response (S),repeated 
The assessment of aquatic ecosystem services for polder in Taihu Basin,The assessment of aquatic ecosystem services for polder in Taihu Basin,10.5846/stxb201401030016,Y,Y,Blue-Green Infrastructure,NA,NA,species richness,NA,NA,NA,species richness ,NA,species richness,NA,NA,NA,NA,NA,NA,NA,species richness,NA,Y,between,Y,Response (S),Y,NA,quantitative,NA,NA,NA,quantitative,NA,NA,NA,NA,"water storage, floodimpact",NA,China,Asia,B,meso-macro,b,Meso,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,NA,Spatial cf,Response (S),Unclear
"Environmental remediation promotes the restoration of biodiversity in the Shenzhen Bay Estuary, South China","Environmental remediation promotes the restoration of biodiversity in the Shenzhen Bay Estuary, South China",10.1080/20964129.2022.2026250,Y,Y,Mangrove Afforestation,"species richness, species abundance",NA,species richness,"species richness, species abundance","species richness, species abundance",NA,"species richness, species abundance",species richness,species richness,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance",ecosystem/habitat diversity,Y - between and wihtin habitats and taxa link,within and between,Y,Treatment(response(S)),Y,some,qualitative,NA,qualitative,NA,qualitative,NA,quantitative,quantitative,"drainage, floodimpact",runoff and erosion,NA,China,Asia,B,meso-macro,b,Meso,NA,FG,Mangrove Afforestation,Mangrove Afforestation,>1 decade,d,repeated ,Temporal (pre-post),Treatment(response(S)),repeated 
"Restoration and rational use of degraded saline reed wetlands: A case study in western Songnen Plain, China","Restoration and rational use of degraded saline reed wetlands: A case study in western Songnen Plain, China",10.1007/s11769-012-0519-z,Y,Y,Wetland Restoration,"species richness, species evenness",NA,"species richness, species evenness",NA,NA,NA,NA,NA,NA,NA,"species richness, species evenness",NA,NA,NA,NA,NA,single species abundance,ecosystem/habitat diversity,"Y - within and between and linked to taxa, Jaccard equation used",NA,NA,Treatment(response(S)),Y,some,NA,NA,quantitative,NA,NA,NA,NA,quantitative,NA,"drainage, runoff and erosion",NA,China,Asia,B,meso-macro,b,Meso,NA,DD,Wetland Restoration,Wetland Restoration,years,c,repeated ,Temporal (pre-post),Treatment(response(S)),repeated 
Seed banks as a source of vegetation regeneration to support the recovery of degraded rivers: A comparison of river reaches of varying condition,Seed banks as a source of vegetation regeneration to support the recovery of degraded rivers: A comparison of river reaches of varying condition,10.1016/j.scitotenv.2015.10.118,Y,Y,River Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance","species richness, species abundance",ecosystem/habitat diversity,Y - within H and linked to taxa,within,Y,Treatment(response(S)),Y,NA,NA,quantitative,NA,NA,quantitative,NA,quantitative,NA,NA,"conveyance, floodimpact, runoff and erosion",NA,Australia,Oceania,E,meso-macro,b,Meso,NA,EE,River Restoration,River Restoration,>2 decades,e,repeated ,Spatial cf,Treatment(response(S)),repeated 
"WETLAND PARK DESIGN FOR HABITAT RESTORATION - CASE STUDY ON THE QINGHUA WETLAND IN BAOSHAN, YUNNAN PROVINCE","WETLAND PARK DESIGN FOR HABITAT RESTORATION - CASE STUDY ON THE QINGHUA WETLAND IN BAOSHAN, YUNNAN PROVINCE",10.15302/J-LAF-1-030016,Y,Y,Wetland Restoration,"species richness, species composition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"functional diversity, species abundance","functional diversity, species abundance",ecosystem/habitat diversity,Y - niches for  native tracheophyte (within single habitat type),within,Y,Treatment(response(S)),Y,some,quantitative,NA,NA,qualitative,qualitative,NA,NA,qualitative,"groundwater, floodimpact ",water storage,NA,China,Asia,B,meso-macro,b,Meso,NA,DD,Wetland Restoration,Wetland Restoration,z,a,NA,Spatial cf,Treatment(response(S)),NA
The effect of mangrove restoration on avian assemblages of a coastal lagoon in southern Mexico,The effect of mangrove restoration on avian assemblages of a coastal lagoon in southern Mexico,10.7717/peerj.7493,Y,Y,Mangrove Afforestation,community composition no baseline,species abundance,NA,NA,NA,species abundance,NA,species abundance,species abundance,NA,species abundance,NA,NA,NA,NA,"species richness, species abundance","species richness, species abundance",ecosystem/habitat diversity,Y - linked species with semi-open structure diversity of manrgove habitat ( niches within single habitat type),within,Y,Treatment(response)S),Y,some,quantitative,quantitative,NA,NA,quantitative,NA,NA,quantitative,NA,"water storage, conveyance, floodimpact",NA,Mexico,South America,D,meso-macro,b,Meso,Unclear,FG,Mangrove Afforestation,Mangrove Afforestation,>4 decades,f,NA,Spatial cf,Treatment(response)S),Unclear
Quantification of the environmental effectiveness of nature-based solutions for increasing the resilience of cities under climate change,Quantification of the environmental effectiveness of nature-based solutions for increasing the resilience of cities under climate change,10.1016/j.ufug.2021.127433,Y,Y,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species evenness",NA,NA,NA,NA,NA,"species richness, phylogenetic diversity","species richness, species evenness",NA,ecosystem/habitat diversity,Y  - woody species and soil,within and between,Y,Treatment(S),Y,some,quantitative,qualitative,NA,NA,NA,qualitative,quantitative,qualitative,"conveyance, flowvelocity","water storage, runoff and erosion",some,Spain,Europe,A,meso-macro,b,Meso,Positive,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,NA,Spatial cf,Treatment(S),Unclear
Demonstrating the need to simultaneously implement all water sensitive design methods for aquatic ecosystem health,Demonstrating the need to simultaneously implement all water sensitive design methods for aquatic ecosystem health,10.1016/j.heliyon.2020.e05682,Y,Y,Blue-Green Infrastructure,NA,NA,species composition,NA,NA,NA,NA,NA,"species richness, species abundance, species composition, ",NA,species composition,"species richness, species abundance, species composition, ",NA,NA,NA,NA,NA,ecosystem/habitat diversity,"within, not sure if linked to a taxa specificallty enough",within,NA,Response (S),Y,Unclear,qualitative,NA,quantitative,NA,NA,NA,quantitative,quantitative,water storage,"drainage, runoff and erosion",some,New Zealand,Oceania,E,micro-meso,a,Micro,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,>1 decade,d,repeated ,Spatial cf,Response (S),repeated 
Ecosystem services provided by urban ponds and green spaces: a detailed study of a semi-natural site with global importance for research,Ecosystem services provided by urban ponds and green spaces: a detailed study of a semi-natural site with global importance for research,10.2166/bgs.2022.021,Y,Y,Blue-Green Infrastructure,species richness,species richness,species richness,species richness,NA,species richness,"species abundance, species evenness",NA,"species richness, species abundance, species composition, ","species richness, species abundance, species composition, ",NA,NA,"species abundance, species evenness",NA,NA,"species richness, species evenness, species composition","species richness, species evenness",ecosystem/habitat diversity,"good example of specific habitat dievrsity inclusion (within, between and taxa linked)",within and between,Y,Response (S),Y,some,quantitative,qualitative,quantitative,NA,quantitative,quantitative,quantitative,quantitative,conveyance,"water storage, drainage, floodimpact, flowvelocity, runoff and erosion",some,Scotland,Europe,A,micro-meso,a,Micro,Positive,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,repeated ,Spatial cf,Response (S),repeated 
Estuarine Infauna Within Incidentally Retained Sediment in Artificial Rockpools,Estuarine Infauna Within Incidentally Retained Sediment in Artificial Rockpools,10.3389/fmars.2021.780720,Y,Y,Blue-Green Infrastructure/Coastal,NA,NA,NA,NA,NA,"species richness, species abundance",NA,"species richness, species abundance","species abundance, species composition",NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,"within and between, linked to taxa",within and between,Y,Response (S),Y,Unclear,qualitative,NA,NA,NA,qualitative,NA,qualitative,NA,"water storage, floodimpact, runoff and erosion",NA,NA,England,Europe,A,micro-meso,a,Micro,Positive,AA,Blue-Green Infrastructure,Blue-Green Infrastructure/Coastal,years,c,NA,Spatial cf,Response (S),NA
Plant and Soil Responses to Created Microtopography and Soil Treatments in Bottomland Hardwood Forest Restoration,Plant and Soil Responses to Created Microtopography and Soil Treatments in Bottomland Hardwood Forest Restoration,10.1111/j.1526-100X.2009.00524.x,Y,Y,Forest afforestation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species composition,species composition,ecosystem/habitat diversity,"Y - within, microhabitat - microtopographic heterogeneity linked to species",within,NA,Response (S),Y,some,quantitative,NA,NA,NA,NA,NA,quantitative,NA,NA,"water storage, runoff and erosion",some,USA,North America,C,micro-meso,a,Micro,Positive,FF,Afforestation,Forest afforestation,months,b,repeated ,pre-post or spatial cf?,Response (S),repeated 
"Systematic Environmental Impact Assessment for Non-natural Reserve Areas: A Case Study of the Chaishitan Water Conservancy Project on Land Use and Plant Diversity in Yunnan, China","Systematic Environmental Impact Assessment for Non-natural Reserve Areas: A Case Study of the Chaishitan Water Conservancy Project on Land Use and Plant Diversity in Yunnan, China",10.3389/fevo.2017.00060,N,Y,Green roofs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species evenness, species abundance",NA,ecosystem/habitat diversity,between,between,linked,Response (S),Y,some,quantitative,NA,NA,unclear,NA,NA,qualitative,NA,runoff and erosion,water storage,some,Canada,North America,C,micro-meso,a,Micro,Positive,BB,Green roofs,Green roofs,months,b,repeated ,Spatial cf,Response (S),repeated 
Biodiversity and functional diversity of Australian stormwater biofilter plant communities,Biodiversity and functional diversity of Australian stormwater biofilter plant communities,10.1016/j.landurbplan.2017.11.002,Y,Y,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"functional diversity, species richness, species composition",NA,NA,N,NA,NA,Response (S),Y,NA,quantitative,NA,NA,NA,NA,NA,NA,NA,NA,water storage,NA,Australia,Oceania,E,micro-meso,a,Micro,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,repeated ,Spatial cf,Response (S),repeated 
Flood Resilience of Urban River Restoration Projects: Case Studies in Hong Kong,Flood Resilience of Urban River Restoration Projects: Case Studies in Hong Kong,10.1061/(ASCE)ME.1943-5479.0000809,N,Y,River Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species composition",NA,N- talk about habitat structure but not measuring its diversity necessarily,NA,NA,Response (S),Y,some,NA,NA,quantitative,NA,quantitative,NA,quantitative,NA,NA,"drainage, floodimpact, runoff and erosion",some,Hong Kong,Asia,B,micro-meso,a,Micro,NA,EE,River Restoration,River Restoration,years,c,repeated ,Temporal (post-post),Response (S),repeated 
Green roof soil organisms: Anthropogenic assemblages or natural communities?,Green roof soil organisms: Anthropogenic assemblages or natural communities?,10.1016/j.apsoil.2018.01.010,Y,Y,Green roofs,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species evenness, species abundance, species composition",NA,NA,"species richness,  species abundance, species composition","species abundance, species composition",NA,NA,NA,NA,NA,,NA,NA,Response (S),Y,some,NA,NA,NA,NA,NA,NA,qualitative,NA,runoff and erosion,NA,NA,England,Europe,A,micro-meso,a,Micro,NA,BB,Green roofs,Green roofs,months,b,repeated ,Temporal (pre-post),Response (S),repeated 
Performance of Rolled Erosion Control Products (RECPs) as Bioswale Revetments,Performance of Rolled Erosion Control Products (RECPs) as Bioswale Revetments,10.3390/su13147731,Y,Y,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species composition",NA,NA,,NA,NA,Response (S),Y,some,qualitative,qualitative,quantitative,qualitative,NA,qualitative,quantitative,qualitative,"water storage, conveyance, groundwater, flowvelocity","drainage, runoff and erosion",some,Brazil,South America,D,micro-meso,a,Micro,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,repeated ,Spatial cf,Response (S),repeated 
Technical solutions and benefits of introducing rain gardens - Gdansk case study,Technical solutions and benefits of introducing rain gardens - Gdansk case study,10.1016/j.scitotenv.2022.155487,Y,Y,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species evenness",Unclear,NA,,NA,NA,Response (S),Y,NA,quantitative,NA,quantitative,NA,NA,qualitative,quantitative,qualitative,flowvelocity,"water storage, drainage, runoff and erosion",some,Poland,Europe,A,micro-meso,a,Micro,Unclear,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,repeated ,Spatial cf,Response (S),repeated 
Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest,Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest,10.1016/j.foreco.2016.10.044,Y,Y,Forest afforestation,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance",NA,NA,"species richness, species abundance, species composition, ",NA,NA,NA,single species abundance,species abundance,ecosystem/habitat diversity,within and linked,within,Y,Treatment(response(S)),Y,some,NA,NA,NA,NA,NA,NA,NA,qualitative,NA,NA,NA,Canada,North America,C,micro-meso,a,Micro,NA,FF,Afforestation,Forest afforestation,years,c,repeated ,Spatio-temporal (prepost),Treatment(response(S)),repeated 
Green Infrastructure Design Influences Communities of Urban Soil Bacteria,Green Infrastructure Design Influences Communities of Urban Soil Bacteria,10.3389/fmicb.2019.00982,Y,Y,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance, species composition, species evenness",community composition no baseline,community composition no baseline,ecosystem/habitat diversity,Y - between and within lliked to taxa,within and between,Y,Treatment(response(S)),Y,NA,quantitative,qualitative,quantitative,NA,NA,NA,quantitative,qualitative,conveyance,"water storage, drainage, runoff and erosion",some,USA,North America,C,micro-meso,a,Micro,Positive,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,NA,Spatial cf,Treatment(response(S)),Unclear
Green infrastructure space and traits (GIST) model: Integrating green infrastructure spatial placement and plant traits to maximize multifunctionality,Green infrastructure space and traits (GIST) model: Integrating green infrastructure spatial placement and plant traits to maximize multifunctionality,10.1016/j.ufug.2020.126635,Y,Y,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species composition",NA,NA,,NA,NA,Treatment(response(S)),Y,NA,NA,NA,qualitative,NA,NA,NA,NA,NA,drainage,NA,NA,USA,North America,C,micro-meso,a,Micro,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,repeated ,Spatial cf,Treatment(response(S)),repeated 
Moving beyond habitat analogs: Optimizing green roofs for a balance of ecosystem services,Moving beyond habitat analogs: Optimizing green roofs for a balance of ecosystem services,10.1016/j.ecoleng.2021.106422,Y,Y,Green roofs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species richness,NA,NA,(constructed) habitat complexity - no link to specific taxa ,NA,NA,Treatment(response(S)),Y,NA,quantitative,NA,NA,NA,NA,NA,quantitative,quantitative,NA,"water storage, runoff and erosion",NA,USA,North America,C,micro-meso,a,Micro,NA,BB,Green roofs,Green roofs,months,b,repeated ,Spatiotemporal (post-post),Treatment(response(S)),repeated 
Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,10.1371/journal.pone.0009677,Y,Y,Green roofs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species evenness, species abundance, functional diversity",NA,NA,,NA,NA,Treatment(response(S)),Y,some,quantitative,NA,NA,NA,qualitative,NA,qualitative,NA,"floodimpact, runoff and erosion",water storage,NA,Canada,North America,C,micro-meso,a,Micro,Positive,BB,Green roofs,Green roofs,months,b,repeated ,Spatiotemporal (post-post),Treatment(response(S)),repeated 
